,0
0,"['kaisa', 'scot', 'successful', 'london', 'lawyer', 'coke', 'night', 'stand', 'aberdeen', 'story', 'begging', 'fly', 'collect', 'alcoholic', 'dad', 'hasnt', 'see', 'impatient', 'agree', 'ruse', 'mom', 'dying', 'want', 'daughter', 'trip', 'get', 'complicate', 'drunk', 'hot', 'temper', 'ban', 'airline', 'go', 'ferry', 'car', 'need', 'great', 'deal', 'help', 'along', 'way', 'sweet', 'lorry', 'driver', 'name', 'clive', 'reach', 'death', 'find', 'stability']"
1,"['plague', 'endless', 'jenny', 'suspect', 'child', 'responsible', 'brutal', 'murder', 'mother']"
2,"['novel', 'young', 'nicotine', 'addict', 'traveler', 'name', 'richard', 'avid', 'pop', 'culture', 'buff', 'particular', 'love', 'video', 'vietnam', 'war', 'hotel', 'bangkok', 'map', 'left', 'strange', 'whack', 'commit', 'suicide', 'lead', 'legendary', 'island', 'paradise', 'wayward', 'soul', 'settle']"
3,"['bronx', 'joe', 'sir', 'irish', 'good', 'guy', 'get', 'bad', 'news', 'day', 'brain', 'tumor', 'wife', 'want', 'divorce', 'saying', 'dull', 'adventure', 'blessing', 'take', 'risky', 'surgery', 'louisville', 'latch', 'hush', 'sharon', 'stone', 'talkative', 'belle', 'big', 'nasty', 'bookie', 'wallet', 'temporary', 'help', 'face', 'run', 'vega', 'tail', 'cancer', 'lurk', 'gambling', 'stability', 'work']"
4,"['woman', 'promise', 'make', 'suppose', 'marry', 'best', 'friend', 'doesnt', 'want', 'find', 'someone', 'become', 'jealous', 'break', 'wedding']"
5,"['county', 'durham', 'endless', 'violent', 'strike', 'margaret', 'thatcher', 'closure', 'british', 'coal', 'widower', 'jackie', 'elliot', 'gary', 'lewis', 'firstborn', 'fellow', 'miner', 'tony', 'jamie', 'take', 'dim', 'view', 'eleven', 'year', 'old', 'second', 'son', 'billy', 'bell', 'poor', 'record', 'boxing', 'class', 'discover', 'transfer', 'neighbor', 'attend', 'ballet', 'schoolmate', 'closet', 'gay', 'michael', 'caffrey', 'stuart', 'encourage', 'desire', 'arouse', 'mrs', 'wilkinson', 'dame', 'julie', 'judge', 'talented', 'enough', 'private', 'train', 'try', 'world', 'renowned', 'royal', 'audition', 'prospect', 'fancy', 'career', 'unimagined', 'pauper', 'quarter', 'twist', 'pa', 'big', 'opposition', 'indispensable', 'support']"
6,"['intersect', 'life', 'daniel', 'plainview', 'eli', 'sunday', 'early', 'twentieth', 'century', 'california', 'present', 'miner', 'turn', 'oilman', 'drive', 'man', 'take', 'achieve', 'advantage', 'expense', 'need', 'business', 'partner', 'son', 'hw', 'reality', 'acquire', 'hws', 'biological', 'single', 'father', 'work', 'rig', 'get', 'kill', 'workplace', 'accident', 'protective', 'bring', 'partnership', 'pair', 'twins', 'family', 'farm', 'major', 'oil', 'deposit', 'locate', 'local', 'preacher', 'self', 'proclaim', 'faith', 'healer', 'want', 'money', 'sale', 'property', 'finance', 'church', 'competitive', 'clash', 'surround', 'land', 'bargain', 'able', 'build', 'pipeline', 'coast', 'religious', 'empire']"
7,"['brendan', 'behan', 'sixteen', 'year', 'old', 'republican', 'going', 'bombing', 'mission', 'ireland', 'liverpool', 'second', 'world', 'war', 'thwart', 'apprehend', 'charge', 'imprison', 'borstal', 'reform', 'institution', 'young', 'east', 'anglia', 'england', 'force', 'live', 'face', 'perceive', 'enemy', 'confrontation', 'deep', 'inner', 'conflict', 'self', 'examination', 'traumatic', 'revealing', 'take', 'unexpected', 'turn', 'throw', 'complete', 'spin', 'emotional', 'vortex', 'truth']"
8,"['maya', 'quick', 'witted', 'young', 'woman', 'come', 'mexican', 'border', 'make', 'way', 'la', 'home', 'older', 'sister', 'rosa', 'get', 'job', 'janitor', 'union', 'janitorial', 'service', 'contract', 'foul', 'mouth', 'supervisor', 'fire', 'whim', 'assign', 'sam', 'shapiro', 'bring', 'justice', 'campaign', 'building', 'willing', 'listener', 'attract', 'ail', 'husband', 'consider', 'try', 'public', 'support', 'management', 'intimidate', 'divide', 'conquer', 'set', 'collide']"
9,"['beautiful', 'psychiatrist', 'abuse', 'patient', 'leading', 'lust', 'murder']"
10,"['repress', 'facing', 'eventual', 'certain', 'death', 'chicken', 'farm', 'hold', 'rocky', 'rooster', 'ginger', 'decide', 'rebel', 'evil', 'mr', 'ms', 'tweedy', 'lead', 'fellow', 'great', 'murderous', 'doom']"
